
code	|	name	|	preferred name	|	taxid
3	|	Aenictus mauritanicus	|	 	|	 
3	|	Aenictus mentu	|	 	|	 
3	|	Aenictus minimus	|	 	|	 
3	|	Aenictus minipetiolus	|	 	|	 
3	|	Aenictus minutulus	|	 	|	 
3	|	Aenictus mocsaryi	|	 	|	 
3	|	Aenictus moebii	|	 	|	 
3	|	Aenictus montivagus	|	 	|	 
3	|	Aenictus mutatus	|	 	|	 
3	|	Aenictus nesiotis	|	 	|	 
3	|	Aenictus nganduensis	|	 	|	 
3	|	Aenictus nishimurai	|	 	|	 
3	|	Aenictus nuchiti	|	 	|	 
3	|	Aenictus obscurus	|	 	|	 
3	|	Aenictus orientalis	|	 	|	 
3	|	Aenictus pachycerus	|	 	|	 
3	|	Aenictus pangantihoni	|	 	|	 
3	|	Aenictus paradentatus	|	 	|	 
3	|	Aenictus parahuonicus	|	 	|	 
3	|	Aenictus peguensis	|	 	|	 
3	|	Aenictus pfeifferi	|	 	|	 
3	|	Aenictus pharao	|	 	|	 
3	|	Aenictus philiporum	|	 	|	 
3	|	Aenictus philippinensis	|	 	|	 
3	|	Aenictus piercei	|	 	|	 
3	|	Aenictus pilosus	|	 	|	 
3	|	Aenictus pinkaewi	|	 	|	 
3	|	Aenictus porizonoides	|	 	|	 
3	|	Aenictus powersi	|	 	|	 
3	|	Aenictus prolixus	|	 	|	 
3	|	Aenictus pubescens	|	 	|	 
3	|	Aenictus punctatus	|	 	|	 
3	|	Aenictus punctiventris	|	 	|	 
3	|	Aenictus punensis	|	 	|	 
3	|	Aenictus rabori	|	 	|	 
3	|	Aenictus raptor	|	 	|	 
3	|	Aenictus reyesi	|	 	|	 
3	|	Aenictus rhodiensis	|	 	|	 
3	|	Aenictus rixator	|	 	|	 
1	|	Aenictus rotundatus	|	 	|	232119
1	|	Aenictus rotundicollis	|	 	|	2488200
3	|	Aenictus rougieri	|	 	|	 
3	|	Aenictus sagei	|	 	|	 
3	|	Aenictus samungi	|	 	|	 
3	|	Aenictus schneirlai	|	 	|	 
3	|	Aenictus seletarius	|	 	|	 
3	|	Aenictus shilintongae	|	 	|	 
3	|	Aenictus shillongensis	|	 	|	 
3	|	Aenictus shuckardi	|	 	|	 
3	|	Aenictus siamensis	|	 	|	 
1	|	Aenictus silvestrii	|	 	|	602367
3	|	Aenictus sirenicus	|	 	|	 
3	|	Aenictus sonchaengi	|	 	|	 
3	|	Aenictus soudanicus	|	 	|	 
3	|	Aenictus spathifer	|	 	|	 
3	|	Aenictus steindachneri	|	 	|	 
3	|	Aenictus stenocephalus	|	 	|	 
3	|	Aenictus subterraneus	|	 	|	 
3	|	Aenictus sulawesiensis	|	 	|	 
3	|	Aenictus sumatrensis	|	 	|	 
3	|	Aenictus sundalandensis	|	 	|	 
3	|	Aenictus thailandianus	|	 	|	 
3	|	Aenictus togoensis	|	 	|	 
3	|	Aenictus trigonus	|	 	|	 
1	|	Aenictus turneri	|	 	|	1501942
3	|	Aenictus vagans	|	 	|	 
3	|	Aenictus vaucheri	|	 	|	 
3	|	Aenictus vieti	|	 	|	 
3	|	Aenictus villiersi	|	 	|	 
3	|	Aenictus watanasiti	|	 	|	 
3	|	Aenictus wayani	|	 	|	 
3	|	Aenictus weissi	|	 	|	 
3	|	Aenictus westwoodi	|	 	|	 
3	|	Aenictus wilaiae	|	 	|	 
3	|	Aenictus wilsoni	|	 	|	 
3	|	Aenictus wiwatwitayai	|	 	|	 
3	|	Aenictus wroughtonii	|	 	|	 
3	|	Aenictus wudangshanensis	|	 	|	 
1	|	Aenictus yamanei	|	 	|	2488201
3	|	Aenictus yangi	|	 	|	 
3	|	Aenictus zhengi	|	 	|	 
3	|	Agraulomyrmex meridionalis	|	 	|	 
3	|	Agraulomyrmex wilsoni	|	 	|	 
3	|	Alloformica aberrans	|	 	|	 
3	|	Alloformica flavicornis	|	 	|	 
3	|	Alloformica nitidior	|	 	|	 
3	|	Alloformica obscurior	|	 	|	 
3	|	Allomerus brevipilosus	|	 	|	 
1	|	Allomerus decemarticulatus	|	 	|	602387
1	|	Allomerus dentatus	|	 	|	602388
3	|	Allomerus maietae	|	 	|	 
1	|	Allomerus octoarticulatus	|	 	|	340333
1	|	Allomerus septemarticulatus	|	 	|	602390
3	|	Allomerus undecemarticulatus	|	 	|	 
3	|	Allomerus vogeli	|	 	|	 
3	|	Amblyopone aberrans	|	 	|	 
1	|	Amblyopone australis	|	 	|	219765
3	|	Amblyopone clarki	|	 	|	 
3	|	Amblyopone ferruginea	|	 	|	 
3	|	Amblyopone gingivalis	|	 	|	 
3	|	Amblyopone hackeri	|	 	|	 
3	|	Amblyopone leae	|	 	|	 
1	|	Amblyopone longidens	|	 	|	602427
3	|	Amblyopone mercovichi	|	 	|	 
3	|	Amblyopone michaelseni	|	 	|	 
3	|	Ancyridris polyrhachioides	|	 	|	 
3	|	Ancyridris rupicapra	|	 	|	 
1	|	Aneuretus simoni	|	 	|	369090
3	|	Anillidris bruchi	|	 	|	 
1	|	Anillomyrma decamera	|	 	|	603029
3	|	Anillomyrma tridens	|	 	|	 
1	|	Ankylomyrma coronacantha	|	 	|	603033
1	|	Anochetus africanus	|	 	|	602459
3	|	Anochetus agilis	|	 	|	 
1	|	Anochetus alae	|	 	|	1884767
1	|	Anochetus altisquamis	|	 	|	602461
3	|	Anochetus angolensis	|	 	|	 
3	|	Anochetus annetteae	|	 	|	 
3	|	Anochetus armstrongi	|	 	|	 
3	|	Anochetus avius	|	 	|	 
1	|	Anochetus bequaerti	|	 	|	602464
1	|	Anochetus bispinosus	|	 	|	602465
1	|	Anochetus boltoni	|	 	|	476158
3	|	Anochetus brevis	|	 	|	 
3	|	Anochetus bytinskii	|	 	|	 
1	|	Anochetus cato	|	 	|	602467
3	|	Anochetus chirichinii	|	 	|	 
3	|	Anochetus chocoensis	|	 	|	 
3	|	Anochetus consultans	|	 	|	 
3	|	Anochetus cryptus	|	 	|	 
