
code	|	name	|	preferred name	|	taxid
3	|	Cahuallitermes aduncus	|	 	|	 
1	|	Cahuallitermes intermedius	|	 	|	1972818
3	|	Calcaritermes brevicollis	|	 	|	 
3	|	Calcaritermes colei	|	 	|	 
3	|	Calcaritermes emarginicollis	|	 	|	 
3	|	Calcaritermes guatemalae	|	 	|	 
3	|	Calcaritermes imminens	|	 	|	 
3	|	Calcaritermes krishnai	|	 	|	 
1	|	Calcaritermes nearcticus	|	 	|	931985
1	|	Calcaritermes nigriceps	|	 	|	906891
3	|	Calcaritermes parvinotus	|	 	|	 
3	|	Calcaritermes rioensis	|	 	|	 
3	|	Calcaritermes snyderi	|	 	|	 
1	|	Calcaritermes temnocephalus	|	 	|	488281
1	|	Capritermes capricornis	|	 	|	377883
1	|	Caribitermes discolor	|	 	|	2698459
1	|	Cavitermes parmae	|	 	|	1934473
3	|	Cavitermes parvicavus	|	 	|	 
3	|	Cavitermes rozeni	|	 	|	 
3	|	Cavitermes simplicinervis	|	 	|	 
1	|	Cavitermes tuberosus	|	 	|	187529
1	|	Cephalotermes rectangularis	|	 	|	187531
1	|	Ceratokalotermes spoliator	|	 	|	105778
3	|	Ceylonitermellus hantanae	|	 	|	 
3	|	Ceylonitermellus kotuae	|	 	|	 
1	|	Ceylonitermes escherichi	|	 	|	377885
3	|	Ceylonitermes indicola	|	 	|	 
3	|	Ceylonitermes paulosus	|	 	|	 
1	|	Coarctotermes beharaensis	|	 	|	377886
1	|	Coarctotermes clepsydra	|	 	|	377887
3	|	Coarctotermes nasonovi	|	 	|	 
1	|	Coarctotermes pauliani	|	 	|	377888
1	|	Coatitermes clevelandi	|	 	|	2358279
1	|	Coatitermes kartaboensis	|	 	|	377889
3	|	Coatitermes mazaruniensis	|	 	|	 
3	|	Coatitermes pallidus	|	 	|	 
3	|	Coendutermes tucum	|	 	|	 
1	|	Comatermes perfectus	|	 	|	488295
3	|	Compositermes bani	|	 	|	 
1	|	Compositermes vindai	|	 	|	1367275
3	|	Constrictotermes cacaoensis	|	 	|	 
1	|	Constrictotermes cavifrons	|	 	|	1249904
1	|	Constrictotermes cyphergaster	|	 	|	488269
1	|	Constrictotermes guantanamensis	|	 	|	1249905
3	|	Constrictotermes latinotus	|	 	|	 
3	|	Constrictotermes rupestris	|	 	|	 
3	|	Convexitermes convexifrons	|	 	|	 
1	|	Convexitermes manni	|	 	|	2698460
1	|	Coptotermes acinaciformis	|	 	|	72654
1	|	Coptotermes amanii	|	 	|	1075645
3	|	Coptotermes amboinensis	|	 	|	 
1	|	Coptotermes bannaensis	|	 	|	1134122
3	|	Coptotermes beckeri	|	 	|	 
3	|	Coptotermes bentongensis	|	 	|	 
3	|	Coptotermes boetonensis	|	 	|	 
1	|	Coptotermes brunneus	|	 	|	1561167
3	|	Coptotermes ceylonicus	|	 	|	 
3	|	Coptotermes changtaiensis	|	 	|	 
3	|	Coptotermes chaoxianensis	|	 	|	 
1	|	Coptotermes cochlearus	|	 	|	568086
3	|	Coptotermes cooloola	|	 	|	 
1	|	Coptotermes curvignathus	|	 	|	270671
3	|	Coptotermes cyclocoryphus	|	 	|	 
1	|	Coptotermes dimorphus	|	 	|	568087
3	|	Coptotermes dobonicus	|	 	|	 
1	|	Coptotermes dreghorni	|	 	|	1561168
1	|	Coptotermes elisae	|	 	|	1586083
3	|	Coptotermes emersoni	|	 	|	 
1	|	Coptotermes formosanus	|	 	|	36987
1	|	Coptotermes frenchi	|	 	|	370047
3	|	Coptotermes fumipennis	|	 	|	 
3	|	Coptotermes gambrinus	|	 	|	 
3	|	Coptotermes gaurii	|	 	|	 
1	|	Coptotermes gestroi	|	 	|	232242
3	|	Coptotermes grandiceps	|	 	|	 
3	|	Coptotermes grandis	|	 	|	 
3	|	Coptotermes guangdongensis	|	 	|	 
3	|	Coptotermes guizhouensis	|	 	|	 
3	|	Coptotermes gulangyuensis	|	 	|	 
3	|	Coptotermes hainanensis	|	 	|	 
1	|	Coptotermes heimi	|	 	|	282472
1	|	Coptotermes hekouensis	|	 	|	1134123
1	|	Coptotermes intermedius	|	 	|	282471
1	|	Coptotermes kalshoveni	|	 	|	274632
3	|	Coptotermes kishori	|	 	|	 
1	|	Coptotermes lacteus	|	 	|	119669
3	|	Coptotermes longignathus	|	 	|	 
1	|	Coptotermes longistriatus	|	 	|	112475
3	|	Coptotermes mauricianus	|	 	|	 
3	|	Coptotermes melanoistriatus	|	 	|	 
3	|	Coptotermes menadoae	|	 	|	 
1	|	Coptotermes michaelseni	|	 	|	282474
3	|	Coptotermes minutissimus	|	 	|	 
3	|	Coptotermes monosetosus	|	 	|	 
3	|	Coptotermes nanus	|	 	|	 
2	|	Coptotermes ochraceus	|	Coptotermes formosanus	|	36987
3	|	Coptotermes oshimai	|	 	|	 
3	|	Coptotermes pamuae	|	 	|	 
3	|	Coptotermes paradoxus	|	 	|	 
3	|	Coptotermes peregrinator	|	 	|	 
3	|	Coptotermes premrasmii	|	 	|	 
1	|	Coptotermes remotus	|	 	|	1826157
1	|	Coptotermes sepangensis	|	 	|	299598
3	|	Coptotermes shanghaiensis	|	 	|	 
1	|	Coptotermes silvaticus	|	 	|	1586085
3	|	Coptotermes sinabangensis	|	 	|	 
2	|	Coptotermes sjostedti	|	Coptotermes sjoestedti	|	377891
1	|	Coptotermes suzhouensis	|	 	|	2080274
1	|	Coptotermes testaceus	|	 	|	280681
1	|	Coptotermes travians	|	 	|	300184
1	|	Coptotermes truncatus	|	 	|	676800
3	|	Coptotermes varicapitatus	|	 	|	 
1	|	Coptotermes vastator	|	 	|	232792
3	|	Cornicapritermes mucronatus	|	 	|	 
1	|	Cornitermes acignathus	|	 	|	1972819
1	|	Cornitermes bequaerti	|	 	|	99800
1	|	Cornitermes bolivianus	|	 	|	1972820
1	|	Cornitermes cumulans	|	 	|	99801
3	|	Cornitermes falcatus	|	 	|	 
3	|	Cornitermes incisus	|	 	|	 
1	|	Cornitermes ovatus	|	 	|	1972821
3	|	Cornitermes pilosus	|	 	|	 
1	|	Cornitermes pugnax	|	 	|	377892
1	|	Cornitermes silvestrii	|	 	|	1972822
3	|	Cornitermes snyderi	|	 	|	 
3	|	Cornitermes villosus	|	 	|	 
1	|	Cornitermes walkeri	|	 	|	62947
3	|	Cornitermes weberi	|	 	|	 
3	|	Cortaritermes fulviceps	|	 	|	 
1	|	Cortaritermes intermedius	|	 	|	1544290
3	|	Cortaritermes piliceps	|	 	|	 
3	|	Cortaritermes rizzinii	|	 	|	 
3	|	Cortaritermes silvestrii	|	 	|	 
1	|	Coxotermes boukokoensis	|	 	|	377893
1	|	Crenetermes albotarsalis	|	 	|	377894
3	|	Crenetermes elongatus	|	 	|	 
3	|	Crenetermes fruitus	|	 	|	 
3	|	Crenetermes mandibulatus	|	 	|	 
3	|	Crenetermes mixtus	|	 	|	 
1	|	Crepititermes verruculosus	|	 	|	187533
3	|	Cristatitermes arenicola	|	 	|	 
3	|	Cristatitermes barretti	|	 	|	 
3	|	Cristatitermes carinatus	|	 	|	 
1	|	Cristatitermes froggatti	|	 	|	377895
3	|	Cristatitermes pineaformis	|	 	|	 
1	|	Cristatitermes tutulatus	|	 	|	377896
